Age,Survival
0,1
1,0.99
2,0.98
3,0.97
4,0.96
5,0.95
6,0.94
7,0.93
8,0.92
9,0.89
10,0.86
11,0.8
12,0.75
13,0.69
14,0.62
15,0.54
16,0.46
17,0.39
18,0.34
19,0.29
20,0.24
21,0.19
22,0.16
23,0.13
24,0.1
25,0.08
26,0.07
27,0.06
28,0.04
29,0.04
30,0.03
31,0.02
32,0.02
33,0.01
34,0.01
35,0.01
36,0.01
37,8.31E-03
38,6.81E-03
39,5.59E-03
40,4.58E-03
41,3.76E-03
42,3.08E-03
43,2.53E-03
44,2.07E-03
45,1.70E-03
46,1.39E-03
47,1.14E-03
48,9.36E-04
49,7.68E-04
50,6.30E-04
51,5.16E-04
52,4.23E-04
53,3.47E-04
54,2.85E-04
55,2.33E-04
56,1.91E-04
57,1.57E-04
58,1.29E-04
59,1.06E-04
60,8.65E-05
61,7.10E-05
62,5.82E-05
63,4.77E-05
64,3.91E-05
65,3.21E-05
66,2.63E-05
67,2.16E-05
68,1.77E-05
69,1.45E-05
70,1.19E-05