route_id,orig_node_id,dest_node_id,volume,path_id
0,13,18,40940.5,0
1,18,13,40940.5,1
2,12,13,3447.5,2
3,12,18,3447.5,3
4,25,13,245.0,4
5,25,18,245.0,5
6,29,13,77.33333333333333,6
7,29,18,77.33333333333333,7
8,31,13,77.33333333333333,8
9,31,18,77.33333333333333,9
10,35,13,77.33333333333333,10
11,35,18,77.33333333333333,11
12,33,13,67.5,12
13,33,18,67.5,13
14,7,13,99.0,14
15,7,18,99.0,15
16,5,13,197.25,16
17,5,18,197.25,17
18,6,13,197.25,18
19,6,18,197.25,19
20,37,13,36.0,20
21,37,18,36.0,21
22,39,13,48.5,22
23,39,18,48.5,23
24,14,13,4644.5,24
25,14,18,4644.5,25
26,15,13,4644.5,26
27,15,18,4644.5,27
28,19,13,803.5,28
29,19,18,803.5,29
30,16,13,1645.0,30
31,16,18,1645.0,31
32,17,13,5851.5,32
33,17,18,5851.5,33
34,1,13,20.0,34
35,1,18,20.0,35
36,2,13,28.5,36
37,2,18,28.5,37
38,13,12,3200.5,38
39,18,12,3200.5,39
40,25,12,271.0,40
41,29,12,96.0,41
42,31,12,96.0,42
43,35,12,96.0,43
44,33,12,56.0,44
45,7,12,127.0,45
46,5,12,312.0,46
47,6,12,312.0,47
48,37,12,22.0,48
49,39,12,49.0,49
50,14,12,4008.0,50
51,15,12,4008.0,51
52,19,12,1311.0,52
53,16,12,973.0,53
54,17,12,2612.0,54
55,1,12,13.0,55
56,2,12,24.0,56
57,13,25,132.5,57
58,18,25,132.5,58
59,12,25,192.0,59
60,29,25,229.66666666666666,60
61,31,25,229.66666666666666,61
62,35,25,229.66666666666666,62
63,33,25,146.0,63
64,7,25,47.0,64
65,5,25,111.0,65
66,6,25,111.0,66
67,37,25,96.0,67
68,39,25,147.0,68
69,14,25,42.5,69
70,15,25,42.5,70
71,19,25,158.0,71
72,16,25,154.0,72
73,17,25,272.0,73
74,1,25,16.0,74
75,2,25,16.0,75
76,13,29,82.33333333333333,76
77,13,31,82.33333333333333,77
78,13,35,82.33333333333333,78
79,18,29,82.33333333333333,79
80,18,31,82.33333333333333,80
81,18,35,82.33333333333333,81
82,12,29,155.33333333333334,82
83,12,31,155.33333333333334,83
84,12,35,155.33333333333334,84
85,25,29,361.3333333333333,85
86,25,31,361.3333333333333,86
87,25,35,361.3333333333333,87
88,29,31,102552.5,88
89,29,35,102552.5,89
90,31,29,102552.5,90
91,31,35,102552.5,91
92,35,29,102552.5,92
93,35,31,102552.5,93
94,33,29,11618.666666666666,94
95,33,31,11618.666666666666,95
96,33,35,11618.666666666666,96
97,7,29,33.0,97
98,7,31,33.0,98
99,7,35,33.0,99
100,5,29,61.166666666666664,100
101,5,31,61.166666666666664,101
102,5,35,61.166666666666664,102
103,6,29,61.166666666666664,103
104,6,31,61.166666666666664,104
105,6,35,61.166666666666664,105
106,37,29,4611.0,106
107,37,31,4611.0,107
108,37,35,4611.0,108
109,39,29,2283.3333333333335,109
110,39,31,2283.3333333333335,110
111,39,35,2283.3333333333335,111
112,14,29,25.0,112
113,14,31,25.0,113
114,14,35,25.0,114
115,15,29,25.0,115
116,15,31,25.0,116
117,15,35,25.0,117
118,19,29,89.66666666666667,118
119,19,31,89.66666666666667,119
120,19,35,89.66666666666667,120
121,16,29,70.33333333333333,121
122,16,31,70.33333333333333,122
123,16,35,70.33333333333333,123
124,17,29,125.33333333333333,124
125,17,31,125.33333333333333,125
126,17,35,125.33333333333333,126
127,1,29,3.6666666666666665,127
128,1,31,3.6666666666666665,128
129,1,35,3.6666666666666665,129
130,2,29,8.0,130
131,2,31,8.0,131
132,2,35,8.0,132
133,13,33,56.0,133
134,18,33,56.0,134
135,12,33,132.0,135
136,25,33,339.0,136
137,29,33,11739.666666666666,137
138,31,33,11739.666666666666,138
139,35,33,11739.666666666666,139
140,7,33,16.0,140
141,5,33,35.0,141
142,6,33,35.0,142
143,37,33,4856.0,143
144,39,33,3157.0,144
145,14,33,17.0,145
146,15,33,17.0,146
147,19,33,63.0,147
148,16,33,44.0,148
149,17,33,100.0,149
150,1,33,8.0,150
151,2,33,8.0,151
152,13,7,56.5,152
153,18,7,56.5,153
154,12,7,111.0,154
155,25,7,36.0,155
156,29,7,16.666666666666668,156
157,31,7,16.666666666666668,157
158,35,7,16.666666666666668,158
159,33,7,16.0,159
160,5,7,2695.5,160
161,6,7,2695.5,161
162,37,7,1.0,162
163,39,7,10.0,163
164,14,7,28.5,164
165,15,7,28.5,165
166,19,7,128.0,166
167,16,7,47.0,167
168,17,7,62.0,168
169,1,7,7.0,169
170,2,7,19.0,170
171,13,5,105.5,171
172,13,6,105.5,172
173,18,5,105.5,173
174,18,6,105.5,174
175,12,5,198.0,175
176,12,6,198.0,176
177,25,5,96.0,177
178,25,6,96.0,178
179,29,5,33.333333333333336,179
180,29,6,33.333333333333336,180
181,31,5,33.333333333333336,181
182,31,6,33.333333333333336,182
183,35,5,33.333333333333336,183
184,35,6,33.333333333333336,184
185,33,5,19.0,185
186,33,6,19.0,186
187,7,5,2598.0,187
188,7,6,2598.0,188
189,5,6,39323.5,189
190,6,5,39323.5,190
191,37,5,11.5,191
192,37,6,11.5,192
193,39,5,24.0,193
194,39,6,24.0,194
195,14,5,47.0,195
196,14,6,47.0,196
197,15,5,47.0,197
198,15,6,47.0,198
199,19,5,1294.5,199
200,19,6,1294.5,200
201,16,5,98.5,201
202,16,6,98.5,202
203,17,5,118.5,203
204,17,6,118.5,204
205,1,5,11.0,205
206,1,6,11.0,206
207,2,5,13.0,207
208,2,6,13.0,208
209,13,37,32.0,209
210,18,37,32.0,210
211,12,37,55.0,211
212,25,37,171.0,212
213,29,37,4517.0,213
214,31,37,4517.0,214
215,35,37,4517.0,215
216,33,37,5094.0,216
217,7,37,13.0,217
218,5,37,22.5,218
219,6,37,22.5,219
220,39,37,1762.0,220
221,14,37,9.5,221
222,15,37,9.5,222
223,19,37,33.0,223
224,16,37,30.0,224
225,17,37,53.0,225
226,1,37,2.0,226
227,2,37,0.0,227
228,13,39,42.5,228
229,18,39,42.5,229
230,12,39,103.0,230
231,25,39,176.0,231
232,29,39,1341.6666666666667,232
233,31,39,1341.6666666666667,233
234,35,39,1341.6666666666667,234
235,33,39,2663.0,235
236,7,39,5.0,236
237,5,39,27.5,237
238,6,39,27.5,238
239,37,39,976.0,239
240,14,39,8.5,240
241,15,39,8.5,241
242,19,39,36.0,242
243,16,39,25.0,243
244,17,39,77.0,244
245,1,39,2.0,245
246,2,39,10.0,246
247,13,14,4390.0,247
248,13,15,4390.0,248
249,18,14,4390.0,249
250,18,15,4390.0,250
251,12,14,3937.0,251
252,12,15,3937.0,252
253,25,14,50.5,253
254,25,15,50.5,254
255,29,14,16.5,255
256,29,15,16.5,256
257,31,14,16.5,257
258,31,15,16.5,258
259,35,14,16.5,259
260,35,15,16.5,260
261,33,14,19.0,261
262,33,15,19.0,262
263,7,14,26.5,263
264,7,15,26.5,264
265,5,14,66.75,265
266,5,15,66.75,266
267,6,14,66.75,267
268,6,15,66.75,268
269,37,14,7.5,269
270,37,15,7.5,270
271,39,14,22.0,271
272,39,15,22.0,272
273,14,15,108533.5,273
274,15,14,108533.5,274
275,19,14,234.5,275
276,19,15,234.5,276
277,16,14,7537.0,277
278,16,15,7537.0,278
279,17,14,7988.5,279
280,17,15,7988.5,280
281,1,14,4.0,281
282,1,15,4.0,282
283,2,14,6.0,283
284,2,15,6.0,284
285,13,19,789.5,285
286,18,19,789.5,286
287,12,19,1340.0,287
288,25,19,212.0,288
289,29,19,44.666666666666664,289
290,31,19,44.666666666666664,290
291,35,19,44.666666666666664,291
292,33,19,47.0,292
293,7,19,125.0,293
294,5,19,1342.0,294
295,6,19,1342.0,295
296,37,19,17.0,296
297,39,19,42.0,297
298,14,19,198.5,298
299,15,19,198.5,299
300,16,19,221.0,300
301,17,19,705.0,301
302,1,19,27.0,302
303,2,19,3.0,303
304,13,16,1544.5,304
305,18,16,1544.5,305
306,12,16,832.0,306
307,25,16,127.0,307
308,29,16,34.666666666666664,308
309,31,16,34.666666666666664,309
310,35,16,34.666666666666664,310
311,33,16,33.0,311
312,7,16,41.0,312
313,5,16,72.5,313
314,6,16,72.5,314
315,37,16,15.0,315
316,39,16,41.0,316
317,14,16,8824.5,317
318,15,16,8824.5,318
319,19,16,146.0,319
320,17,16,7489.0,320
321,1,16,3.0,321
322,2,16,13.0,322
323,13,17,6721.0,323
324,18,17,6721.0,324
325,12,17,2163.0,325
326,25,17,449.0,326
327,29,17,162.66666666666666,327
328,31,17,162.66666666666666,328
329,35,17,162.66666666666666,329
330,33,17,97.0,330
331,7,17,112.0,331
332,5,17,237.0,332
333,6,17,237.0,333
334,37,17,53.0,334
335,39,17,114.0,335
336,14,17,6322.0,336
337,15,17,6322.0,337
338,19,17,736.0,338
339,16,17,9637.0,339
340,1,17,14.0,340
341,2,17,40.0,341
342,13,1,18.5,342
343,18,1,18.5,343
344,12,1,60.0,344
345,25,1,24.0,345
346,29,1,10.0,346
347,31,1,10.0,347
348,35,1,10.0,348
349,33,1,5.0,349
350,7,1,25.0,350
351,5,1,33.0,351
352,6,1,33.0,352
353,37,1,4.0,353
354,39,1,10.0,354
355,14,1,5.0,355
356,15,1,5.0,356
357,19,1,20.0,357
358,16,1,19.0,358
359,17,1,23.0,359
360,2,1,853.0,360
361,13,2,4.0,361
362,18,2,4.0,362
363,12,2,2.0,363
364,25,2,6.0,364
365,29,2,1.3333333333333333,365
366,31,2,1.3333333333333333,366
367,35,2,1.3333333333333333,367
368,33,2,0.0,368
369,7,2,4.0,369
370,5,2,10.5,370
371,6,2,10.5,371
372,37,2,0.0,372
373,39,2,0.0,373
374,14,2,0.0,374
375,15,2,0.0,375
376,19,2,9.0,376
377,16,2,3.0,377
378,17,2,10.0,378
379,1,2,867.0,379
